Time_UTC[s] Orbit_rail_pos[mm] PI_table_pos[deg] Target_table_pos[deg] Robot_X[mm] Robot_Y[mm] Robot_Z[mm] Robot_A[deg] Robot_B[deg] Robot_C[deg] Attitude_RA[Deg] Attitude_Dec[Deg] Attitude_Rot[Deg]
1763463538.813000 1538.020020 0.000000 0.000000 -163.662200 -503.848800 680.772400 -89.999800 -0.011000 89.999800 1.084433 -0.464379 0.000000
1763463538.925000 1538.020020 0.000000 0.000000 -163.662200 -503.848800 680.772400 -89.999800 -0.011000 89.999800 1.084433 -0.464379 0.000000
1763463539.034000 1538.020020 0.000000 0.000000 -163.662200 -503.848800 680.772400 -89.999800 -0.011000 89.999800 1.084433 -0.464379 0.000000
1763463539.152000 1538.020020 0.000000 0.000000 -163.662200 -503.848800 680.772400 -89.999800 -0.011000 89.999800 1.084433 -0.464379 0.000000
1763463539.262000 1538.020020 0.000000 0.000000 -163.662200 -503.848800 680.772400 -89.999800 -0.011000 89.999800 1.084433 -0.464379 0.000000
1763463539.371000 1538.020020 0.000000 0.000000 -163.662200 -503.848800 680.772400 -89.999800 -0.011000 89.999800 1.084433 -0.464379 0.000000
1763463539.480000 1538.020020 0.000000 0.000000 -163.662200 -503.848800 680.772400 -89.999800 -0.011000 89.999800 1.084433 -0.464379 0.000000
1763463539.580000 1538.020020 0.000000 0.000000 -163.662200 -503.848800 680.772400 -89.999800 -0.011000 89.999800 1.084433 -0.464379 0.000000
1763463539.693000 1538.020020 0.000000 0.000000 -163.662200 -503.848800 680.772400 -89.999800 -0.011000 89.999800 1.084433 -0.464379 0.000000
1763463539.800000 1538.020020 0.000000 0.000000 -163.662200 -503.848800 680.772400 -89.999800 -0.011000 89.999800 1.084433 -0.464379 0.000000
1763463539.909000 1538.020020 0.000000 0.000000 -163.662200 -503.848800 680.772400 -89.999800 -0.011000 89.999800 1.084433 -0.464379 0.000000
1763463540.019000 1538.020020 0.000000 0.000000 -163.662200 -503.848800 680.772400 -89.999800 -0.011000 89.999800 1.084433 -0.464379 0.000000
1763463540.128000 1538.020020 0.000000 0.000000 -163.662200 -503.848800 680.772400 -89.999800 -0.011000 89.999800 1.084433 -0.464379 0.000000
1763463540.239000 1538.020020 0.000000 0.000000 -163.662200 -503.848800 680.772400 -89.999800 -0.011000 89.999800 1.084433 -0.464379 0.000000
1763463540.348000 1538.020020 0.000000 0.000000 -163.662200 -503.848800 680.772400 -89.999800 -0.011000 89.999800 1.084433 -0.464379 0.000000
1763463540.454000 1538.020020 0.000000 0.000000 -163.662200 -503.848800 680.772400 -89.999800 -0.011000 89.999800 1.084433 -0.464379 0.000000
1763463540.563000 1538.020020 0.000000 0.000000 -163.662200 -503.848800 680.772400 -89.999800 -0.011000 89.999800 1.084433 -0.464379 0.000000
1763463540.673000 1538.020020 0.000000 0.000000 -163.662200 -503.848800 680.772400 -89.999800 -0.011000 89.999800 1.084433 -0.464379 0.000000
1763463540.785000 1538.020020 0.000000 0.000000 -163.662200 -503.848800 680.772400 -89.999800 -0.011000 89.999800 1.084433 -0.464379 0.000000
1763463540.889000 1538.020020 0.000000 0.000000 -163.662200 -503.848800 680.772400 -89.999800 -0.011000 89.999800 1.084433 -0.464379 0.000000
1763463540.999000 1538.020020 0.000000 0.000000 -163.662200 -503.848800 680.772400 -89.999800 -0.011000 89.999800 1.084433 -0.464379 0.000000
1763463541.108000 1538.020020 0.000000 0.000000 -163.662200 -503.848800 680.772400 -89.999800 -0.011000 89.999800 1.084433 -0.464379 0.000000
1763463541.229000 1538.020020 0.000000 0.000000 -163.662200 -503.848800 680.772400 -89.999800 -0.011000 89.999800 1.084433 -0.464379 0.000000
1763463541.338000 1538.020020 0.000000 0.000000 -163.662200 -503.848800 680.772400 -89.999800 -0.011000 89.999800 1.084433 -0.464379 0.000000
1763463541.447000 1538.020020 0.000000 0.000000 -163.662200 -503.848800 680.772400 -89.999800 -0.011000 89.999800 1.084433 -0.464379 0.000000
1763463541.556000 1538.020020 0.000000 0.000000 -163.662200 -503.848800 680.772400 -89.999800 -0.011000 89.999800 1.084433 -0.464379 0.000000
1763463541.666000 1538.020020 0.000000 0.000000 -163.662200 -503.848800 680.772400 -89.999800 -0.011000 89.999800 1.084433 -0.464379 0.000000
1763463541.775000 1538.020020 0.000000 0.000000 -163.648700 -505.808300 680.842900 -89.971100 -0.051500 89.981300 1.027812 -0.445276 0.000000
1763463541.884000 1538.020020 0.000000 0.000000 -163.658600 -507.899000 680.799600 -89.989300 -0.004600 89.990800 1.107495 -0.455404 0.000000
1763463541.993000 1538.020020 0.000000 0.000000 -163.658500 -511.488700 680.770500 -90.001800 -0.005700 89.999600 1.093003 -0.464201 0.000000
1763463542.102000 1538.020020 0.000000 0.000000 -163.659300 -515.095300 680.777400 -89.997300 -0.005900 89.999500 1.097101 -0.464101 0.000000
1763463542.212000 1538.020020 0.000000 0.000000 -163.658800 -518.687700 680.768800 -90.002700 -0.004000 90.000100 1.095508 -0.464705 0.000000
1763463542.321000 1538.020020 0.000000 0.000000 -163.657800 -521.209700 680.792400 -89.997300 -0.016000 89.997600 1.076784 -0.462146 0.000000
1763463542.430000 1538.020020 0.000000 0.000000 -163.665500 -524.452000 680.769600 -89.995700 -0.012500 90.000100 1.085559 -0.464670 0.000000
1763463542.539000 1538.020020 0.000000 0.000000 -163.658400 -528.042100 680.782900 -90.002400 -0.009400 89.999700 1.085020 -0.464287 0.000000
1763463542.648000 1538.020020 0.000000 0.000000 -163.658600 -532.008400 680.779300 -89.998500 -0.008300 89.998900 1.091083 -0.463492 0.000000
1763463542.758000 1538.020020 0.000000 0.000000 -163.656700 -534.178500 680.766100 -89.996900 -0.011800 89.999100 1.085696 -0.463675 0.000000
1763463542.867000 1538.020020 0.000000 0.000000 -163.663500 -537.405300 680.770500 -90.002200 -0.006500 90.002200 1.091090 -0.466799 0.000000
1763463542.976000 1538.020020 0.000000 0.000000 -163.660600 -541.376100 680.771800 -89.997800 0.004600 89.998600 1.117597 -0.463204 0.000000
1763463543.085000 1538.020020 0.000000 0.000000 -163.654100 -544.980100 680.754600 -89.997500 -0.001200 89.999500 1.106290 -0.464109 0.000000
1763463543.194000 1538.020020 0.000000 0.000000 -163.657100 -547.492200 680.767500 -90.000200 0.004400 89.999200 1.114783 -0.463805 0.000000
1763463543.304000 1538.020020 0.000000 0.000000 -163.668200 -549.826100 680.667600 -89.998700 0.011500 90.002000 1.130313 -0.466576 0.000000
1763463543.413000 1538.020020 0.000000 0.000000 -163.664200 -550.007100 680.731500 -90.002900 0.007600 90.002400 1.118359 -0.466995 0.000000
1763463543.522000 1538.020020 0.000000 0.000000 -163.659500 -550.000300 680.754600 -90.002500 0.006000 90.002000 1.115598 -0.466600 0.000000
1763463543.631000 1538.020020 0.000000 0.000000 -163.658900 -549.996600 680.763100 -90.002000 0.005200 90.001700 1.114518 -0.466303 0.000000
1763463543.740000 1538.020020 0.000000 0.000000 -163.658900 -549.997000 680.760300 -90.002000 0.005600 90.001700 1.115312 -0.466301 0.000000
1763463543.850000 1538.020020 0.000000 0.000000 -163.658600 -549.995200 680.765600 -90.001700 0.004400 90.001000 1.113244 -0.465605 0.000000
1763463543.959000 1538.020020 0.000000 0.000000 -163.658600 -549.996300 680.763100 -90.001200 0.004800 90.000800 1.114544 -0.465404 0.000000
1763463544.068000 1538.020020 0.000000 0.000000 -163.659000 -549.998500 680.758900 -90.001200 0.005100 90.000900 1.115139 -0.465503 0.000000
1763463544.177000 1538.020020 0.000000 0.000000 -163.610800 -548.437200 680.613500 -90.014100 0.100700 90.024500 1.278767 -0.486415 0.000000
1763463544.286000 1538.020020 0.000000 0.000000 -163.657900 -544.884300 680.740200 -90.000600 -0.002700 90.011800 1.100355 -0.476407 0.000000
1763463544.396000 1538.020020 0.000000 0.000000 -163.663700 -541.278200 680.769900 -90.000100 -0.003700 90.001900 1.098740 -0.466506 0.000000
1763463544.505000 1538.020020 0.000000 0.000000 -163.661900 -538.759300 680.756400 -89.998600 -0.003200 90.005400 1.101288 -0.470007 0.000000
